"","Species","Extent","X_round","Y_round","Occurrence"
"9542","Leontodon.hispidus","Alps",4556450,2671150,1
"9543","Leontodon.hispidus","Alps",4579950,2671150,1
"9544","Leontodon.hispidus","Alps",4268650,2671250,1
"9545","Leontodon.hispidus","Alps",4585250,2671350,1
"9546","Leontodon.hispidus","Alps",4535150,2671450,1
"9547","Leontodon.hispidus","Alps",4586050,2671450,1
"9548","Leontodon.hispidus","Alps",4587550,2671450,1
"9549","Leontodon.hispidus","Alps",4299650,2671750,1
"9550","Leontodon.hispidus","Alps",4299450,2671850,1
"9551","Leontodon.hispidus","Alps",4391350,2671850,1
"9552","Leontodon.hispidus","Alps",4594350,2671850,1
"9553","Leontodon.hispidus","Alps",4595150,2671850,1
"9554","Leontodon.hispidus","Alps",4596650,2671950,1
"9555","Leontodon.hispidus","Alps",4598150,2671950,1
"9556","Leontodon.hispidus","Alps",4598950,2672050,1
"9557","Leontodon.hispidus","Alps",4599750,2672050,1
"9558","Leontodon.hispidus","Alps",4554050,2672250,1
"9559","Leontodon.hispidus","Alps",4580650,2672250,1
"9560","Leontodon.hispidus","Alps",4581450,2672250,1
"9561","Leontodon.hispidus","Alps",4602750,2672250,1
"9562","Leontodon.hispidus","Alps",4582250,2672350,1
"9563","Leontodon.hispidus","Alps",4582950,2672350,1
"9564","Leontodon.hispidus","Alps",4532750,2672450,1
"9565","Leontodon.hispidus","Alps",4583750,2672450,1
"9566","Leontodon.hispidus","Alps",4584450,2672450,1
"9567","Leontodon.hispidus","Alps",4585250,2672450,1
"9568","Leontodon.hispidus","Alps",4534350,2672550,1
"9569","Leontodon.hispidus","Alps",4636350,2672650,1
"9570","Leontodon.hispidus","Alps",4656450,2672650,1
"9571","Leontodon.hispidus","Alps",4592850,2672850,1
"9572","Leontodon.hispidus","Alps",4593550,2672850,1
"9573","Leontodon.hispidus","Alps",4545650,2672950,1
"9574","Leontodon.hispidus","Alps",4547250,2673050,1
"9575","Leontodon.hispidus","Alps",4551750,2673250,1
"9576","Leontodon.hispidus","Alps",4552550,2673250,1
"9577","Leontodon.hispidus","Alps",4559350,2673350,1
"9578","Leontodon.hispidus","Alps",4559450,2673350,1
"9579","Leontodon.hispidus","Alps",4604250,2673350,1
"9580","Leontodon.hispidus","Alps",4497850,2673450,1
"9581","Leontodon.hispidus","Alps",4715350,2673450,1
"9582","Leontodon.hispidus","Alps",4559350,2673550,1
"9583","Leontodon.hispidus","Alps",4717550,2673550,1
"9584","Leontodon.hispidus","Alps",4546650,2673650,1
"9585","Leontodon.hispidus","Alps",4611050,2673750,1
"9586","Leontodon.hispidus","Alps",4591250,2673850,1
"9587","Leontodon.hispidus","Alps",4592750,2673950,1
"9588","Leontodon.hispidus","Alps",4547150,2674150,1
"9589","Leontodon.hispidus","Alps",4693950,2674150,1
"9590","Leontodon.hispidus","Alps",4551750,2674350,1
"9591","Leontodon.hispidus","Alps",4552450,2674350,1
"9592","Leontodon.hispidus","Alps",4553250,2674350,1
"9593","Leontodon.hispidus","Alps",4554750,2674450,1
"9594","Leontodon.hispidus","Alps",4555550,2674450,1
"9595","Leontodon.hispidus","Alps",4579050,2674450,1
"9596","Leontodon.hispidus","Alps",4605650,2674550,1
"9597","Leontodon.hispidus","Alps",4610250,2674850,1
"9598","Leontodon.hispidus","Alps",4610950,2674850,1
"9599","Leontodon.hispidus","Alps",4540250,2674950,1
"9600","Leontodon.hispidus","Alps",4513750,2675150,1
"9601","Leontodon.hispidus","Alps",4694650,2675350,1
"9602","Leontodon.hispidus","Alps",4553150,2675550,1
"9603","Leontodon.hispidus","Alps",4359050,2675650,1
"9604","Leontodon.hispidus","Alps",4496950,2675650,1
"9605","Leontodon.hispidus","Alps",4715950,2675650,1
"9606","Leontodon.hispidus","Alps",4716650,2675750,1
"9607","Leontodon.hispidus","Alps",4534150,2675850,1
"9608","Leontodon.hispidus","Alps",4608650,2675850,1
"9609","Leontodon.hispidus","Alps",4588850,2675950,1
"9610","Leontodon.hispidus","Alps",4610950,2675950,1
"9611","Leontodon.hispidus","Alps",4486850,2676050,1
"9612","Leontodon.hispidus","Alps",4611650,2676050,1
"9613","Leontodon.hispidus","Alps",4612450,2676050,1
"9614","Leontodon.hispidus","Alps",4570650,2676250,1
"9615","Leontodon.hispidus","Alps",4375950,2676350,1
"9616","Leontodon.hispidus","Alps",4376650,2676350,1
"9617","Leontodon.hispidus","Alps",4492350,2676350,1
"9618","Leontodon.hispidus","Alps",4376150,2676450,1
"9619","Leontodon.hispidus","Alps",4694550,2676450,1
"9620","Leontodon.hispidus","Alps",4577450,2676550,1
"9621","Leontodon.hispidus","Alps",4578250,2676550,1
"9622","Leontodon.hispidus","Alps",4599450,2676550,1
"9623","Leontodon.hispidus","Alps",4526550,2676650,1
"9624","Leontodon.hispidus","Alps",4527350,2676750,1
"9625","Leontodon.hispidus","Alps",4528050,2676750,1
"9626","Leontodon.hispidus","Alps",4534150,2676950,1
"9627","Leontodon.hispidus","Alps",4249150,2677050,1
"9628","Leontodon.hispidus","Alps",4611650,2677150,1
"9629","Leontodon.hispidus","Alps",4612350,2677150,1
"9630","Leontodon.hispidus","Alps",4613150,2677150,1
"9631","Leontodon.hispidus","Alps",4512150,2677250,1
"9632","Leontodon.hispidus","Alps",4557950,2677250,1
"9633","Leontodon.hispidus","Alps",4613850,2677250,1
"9634","Leontodon.hispidus","Alps",4512850,2677350,1
"9635","Leontodon.hispidus","Alps",4615450,2677350,1
"9636","Leontodon.hispidus","Alps",4520450,2677550,1
"9637","Leontodon.hispidus","Alps",4598650,2677550,1
"9638","Leontodon.hispidus","Alps",4694450,2677550,1
"9639","Leontodon.hispidus","Alps",4578750,2677650,1
"9640","Leontodon.hispidus","Alps",4714250,2677750,1
"9641","Leontodon.hispidus","Alps",4495450,2677850,1
"9642","Leontodon.hispidus","Alps",4526550,2677850,1
"9643","Leontodon.hispidus","Alps",4527250,2677850,1
"9644","Leontodon.hispidus","Alps",4528050,2677850,1
"9645","Leontodon.hispidus","Alps",4715050,2677850,1
"9646","Leontodon.hispidus","Alps",4499250,2677950,1
"9647","Leontodon.hispidus","Alps",4508650,2677950,1
"9648","Leontodon.hispidus","Alps",4584250,2677950,1
"9649","Leontodon.hispidus","Alps",4606250,2677950,1
"9650","Leontodon.hispidus","Alps",4607050,2677950,1
"9651","Leontodon.hispidus","Alps",4584950,2678050,1
"9652","Leontodon.hispidus","Alps",4586450,2678050,1
"9653","Leontodon.hispidus","Alps",4608550,2678050,1
"9654","Leontodon.hispidus","Alps",4534850,2678150,1
"9655","Leontodon.hispidus","Alps",4587250,2678150,1
"9656","Leontodon.hispidus","Alps",4431650,2678250,1
"9657","Leontodon.hispidus","Alps",4613850,2678350,1
"9658","Leontodon.hispidus","Alps",4616850,2678550,1
"9659","Leontodon.hispidus","Alps",4617650,2678550,1
"9660","Leontodon.hispidus","Alps",4618750,2678550,1
"9661","Leontodon.hispidus","Alps",4597850,2678650,1
"9662","Leontodon.hispidus","Alps",4619150,2678650,1
"9663","Leontodon.hispidus","Alps",4619950,2678650,1
"9664","Leontodon.hispidus","Alps",4235550,2678950,1
"9665","Leontodon.hispidus","Alps",4494650,2678950,1
"9666","Leontodon.hispidus","Alps",4527250,2678950,1
"9667","Leontodon.hispidus","Alps",4714150,2678950,1
"9668","Leontodon.hispidus","Alps",4519450,2679050,1
"9669","Leontodon.hispidus","Alps",4504450,2679250,1
"9670","Leontodon.hispidus","Alps",4565950,2679350,1
"9671","Leontodon.hispidus","Alps",4614550,2679450,1
"9672","Leontodon.hispidus","Alps",4519150,2679650,1
"9673","Leontodon.hispidus","Alps",4572750,2679650,1
"9674","Leontodon.hispidus","Alps",4617550,2679650,1
"9675","Leontodon.hispidus","Alps",4620650,2679850,1
"9676","Leontodon.hispidus","Alps",4621350,2679850,1
"9677","Leontodon.hispidus","Alps",4527250,2680050,1
"9678","Leontodon.hispidus","Alps",4630550,2680050,1
"9679","Leontodon.hispidus","Alps",4581850,2680150,1
"9680","Leontodon.hispidus","Alps",4715650,2680150,1
"9681","Leontodon.hispidus","Alps",4215450,2680650,1
"9682","Leontodon.hispidus","Alps",4593950,2680650,1
"9683","Leontodon.hispidus","Alps",4615950,2680650,1
"9684","Leontodon.hispidus","Alps",4375750,2680750,1
"9685","Leontodon.hispidus","Alps",4616750,2680750,1
"9686","Leontodon.hispidus","Alps",4296950,2680850,1
"9687","Leontodon.hispidus","Alps",4602450,2680850,1
"9688","Leontodon.hispidus","Alps",4618250,2680850,1
"9689","Leontodon.hispidus","Alps",4339850,2680950,1
"9690","Leontodon.hispidus","Alps",4375550,2680950,1
"9691","Leontodon.hispidus","Alps",4712550,2681050,1
"9692","Leontodon.hispidus","Alps",4555950,2681150,1
"9693","Leontodon.hispidus","Alps",4535550,2681450,1
"9694","Leontodon.hispidus","Alps",4593950,2681750,1
"9695","Leontodon.hispidus","Alps",4318550,2681850,1
"9696","Leontodon.hispidus","Alps",4318650,2681850,1
"9697","Leontodon.hispidus","Alps",4318950,2681850,1
"9698","Leontodon.hispidus","Alps",4570350,2681850,1
"9699","Leontodon.hispidus","Alps",4318850,2681950,1
"9700","Leontodon.hispidus","Alps",4483950,2681950,1
"9701","Leontodon.hispidus","Alps",4318850,2682050,1
"9702","Leontodon.hispidus","Alps",4329850,2682050,1
"9703","Leontodon.hispidus","Alps",4330150,2682050,1
"9704","Leontodon.hispidus","Alps",4318750,2682150,1
"9705","Leontodon.hispidus","Alps",4318950,2682150,1
"9706","Leontodon.hispidus","Alps",4319050,2682150,1
"9707","Leontodon.hispidus","Alps",4319150,2682150,1
"9708","Leontodon.hispidus","Alps",4491450,2682150,1
"9709","Leontodon.hispidus","Alps",4503850,2682150,1
